ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,abs,dft,Solvent
10.66,16.59,11.27,8.15,11.6675,3.073144766,34,286.24177,-0.299552,75,-0.025161,0.274391,34,6.622,4.184,10.488,12.097,0.451903321,0.913394745,0.431686,1.783251,8.72288,30.311555,670.009,2070.12154,1.5495,-40.92783,57.6281,1061.25726,643.77506,417.48221,0.00544567,0.02809491,-0.02948041,0.00072426,0.24880015,0.02781637,0.77933253,30.6,69.4,10.38945,18.05785,0.51976566,0.00269563,-42.23774,-13.8063,-0.9528355,0.059864,425,334.78,7.2
16.88,12.61,9.25,12.99,12.9325,2.704203903,23,241.16973,-0.294372,61,-0.025978,0.268393,23,6.173,4.548,10.287,12.324,0.45377223,0.998218046,0.416635,2.146553,6.392015,32.627438,314.034,1646.33464,1.6415,-41.81506,60.45511,874.98191,506.49911,368.4828,0.00909652,0.03355407,-0.02452168,0.00068439,0.24545276,0.02890166,0.80954528,29.26,70.74,12.06734,19.66374,0.53572378,0.00427503,-42.23269,-13.81235,-0.9419387,0.045954,394,351.8,7.2
15.58,12.52,9.25,9.02,11.5925,2.686329978,32,301.2665,-0.293247,77,-0.025515,0.267731,32,7.504,6.691,10.933,14.998,0.459751088,0.999333689,0.923686,4.311525,5.517241,32.700819,256.7061,2239.0346,1.5078,-41.37497,54.56332,1135.50067,707.45364,428.04703,0.00922435,0.02789492,-0.02163339,0.00053033,0.24799574,0.02405202,0.69482978,34.03,65.97,11.11828,19.65939,0.5181714,0.00413615,-42.27747,-13.13117,-0.9070623,0.038174,395,353.31,7.2
11,12.57,9.25,12.65,11.3675,1.388315076,25,269.17987,-0.29737,68,-0.026891,0.27048,23,6.773,4.45,10.171,13.433,0.478826549,0.991658054,0.378255,2.009104,6.830218,43.389523,263.966,1810.68359,1.6659,-40.81155,39.19227,958.59287,582.20038,376.39249,0.00776965,0.03040723,-0.02724595,0.00052469,0.23812016,0.02792538,0.79364596,25.92,74.08,12.15412,19.68542,0.54086901,0.003556,-42.21562,-13.03199,-0.9419221,0.044209,386,346.95,7.2
11.24,12.52,9.66,10.52,10.985,1.047986164,23,241.16973,-0.296005,61,-0.018548,0.277457,23,6.456,4.391,9.57,12.771,0.477742032,0.989079926,0.378234,1.984671,8.07775,34.99047,265.9633,1644.88301,1.643,-45.86917,60.84167,871.31535,526.19649,345.11886,0.00827641,0.03283976,-0.0291749,0.00082584,0.24927131,0.03028084,0.85411494,26.84,73.16,11.95557,19.71674,0.53648902,0.00448728,-41.46727,-13.8117,-0.9578759,0.046671,338,333.21,7.2
9.54,11.32,8.9,12.52,10.57,1.43307362,21,221.16338,-0.285548,56,-0.018536,0.267012,17,5.527,5.249,9.801,10.993,0.422109588,0.994481636,0.452699,2.81904,8.757296,40.504018,123.4347,1518.408,1.6322,-46.17265,62.945,795.17036,431.62952,363.54083,0.00735271,0.04007597,-0.03149939,0.00094437,0.2267134,0.0357925,0.98382416,21.98,78.02,11.80155,19.47573,0.53137859,0.00370356,-41.23097,-13.38829,-0.9264603,0.042566,405,353.49,7.2
8.59,9.04,8.49,11.24,9.34,1.116355678,32,282.24655,-0.27411,73,-0.010651,0.263459,22,6.398,5.195,10.418,11.573,0.42569705,0.904423257,0.587263,2.59216,13.039825,49.326966,292.6196,2073.70736,1.5252,-47.33296,82.81075,1057.5554,584.15193,473.40347,0.00892892,0.04432025,-0.03474189,0.00132244,0.20579994,0.0398825,1.08934246,21.77,78.23,11.5,19.2857,0.52183396,0.00349694,-41.45724,-13.84076,-0.9105299,0.048955,410,357.59,7.2
8.6,9.09,8.51,11.31,9.3775,1.137351639,37,324.28331,-0.275805,84,-0.011753,0.264052,33,7.329,5.397,12.483,14.532,0.448352462,0.991404011,0.626189,2.786549,12.578665,74.857151,343.0123,2394.25722,1.5177,-46.72684,91.71144,1216.50114,708.03879,508.46235,0.01372277,0.04953441,-0.03614529,0.00145559,0.19677672,0.04286733,1.19561771,18.53,81.47,11.53827,19.31141,0.52230588,0.00286429,-41.47125,-13.84149,-0.9094464,0.046283,407,356.58,7.2
11.58,12.72,9.64,13,11.735,1.321315632,23,223.17927,-0.290439,57,-0.018531,0.271907,22,6.403,4.183,8.535,12.717,0.499980342,0.993050133,0.371603,1.783277,9.018749,44.678478,225.2741,1617.09479,1.5465,-45.71036,77.77859,854.00929,467.91508,386.09421,0.00792149,0.0402278,-0.03123117,0.00110025,0.21091229,0.03571736,0.98397614,19.7,80.3,11.53258,19.55703,0.52599071,0.00383058,-41.41438,-13.77853,-0.915961,0.044217,397,342.67,7.2
11.09,10.01,8.06,11.24,10.1,1.269783446,46,308.37338,-0.243823,83,0.014846,0.258669,31,7.961,5.931,11.689,15.435,0.466949024,0.96941339,0.808861,3.369589,3.20118,25.97365,204.7052,2636.08583,1.3109,-49.89044,17.88578,1299.95571,818.99415,480.96156,-0.00260885,0.01229328,-0.02798461,0.00051522,0.06593235,0.0188794,0.4924936,59.98,40.02,10.76086,16.62295,0.50539183,0.00131345,-38.50293,-13.43681,-0.8078817,0.04233,385,381.87,3.4
12.55,10.27,8.52,10.15,10.3725,1.434684199,43,294.34676,-0.249102,79,0.009085,0.258186,31,7.98,5.923,11.778,15.659,0.469394484,0.981140351,0.714768,3.420132,2.028098,28.108639,127.2403,2489.58039,1.3249,-56.36154,18.36551,1247.52313,762.6103,484.91283,-0.0025148,0.01249729,-0.02612394,0.00043932,0.09552712,0.01842762,0.48419864,54.59,45.41,10.6927,17.57555,0.50685689,0.00150277,-38.65754,-13.41983,-0.8131492,0.042738,390,385.24,3.4
10.64,9.79,8.89,13.85,10.7925,1.870566425,44,302.36556,-0.276998,81,-0.025382,0.251616,23,6.619,7.004,10.021,13.206,0.43683636,0.997582716,1.164534,4.297546,0.001386,31.454061,0.0525,2523.49228,1.3427,-37.60971,18.19485,1168.2192,776.47417,391.74503,0.00195123,0.01251574,-0.01898859,0.00037658,0.10636527,0.01412756,0.39963496,65.88,34.12,11.59509,16.3539,0.50742652,0.00059823,-38.32338,-14.28781,-0.8161165,0.03729,455,403.25,4.4
11.68,9.95,8.16,10.7,10.1225,1.288455956,46,334.36437,-0.271508,89,0.003774,0.275281,26,6.589,6.99,11.446,13.168,0.416656119,0.99924116,1.11196,4.43378,1.778473,18.686264,86.1765,2644.47013,1.4169,-40.16714,55.27131,1220.96305,687.35149,533.61155,-0.00205196,0.01394023,-0.02265168,0.00051408,0.2432007,0.01808143,0.48293392,61.33,38.67,11.36987,18.59866,0.51239708,0.00151535,-38.2957,-13.34936,-0.8498114,0.049309,394,344.73,4.4
11.43,9.99,8.06,10.48,9.99,1.228678152,52,362.41761,-0.269822,97,0.009351,0.279173,50,6.826,6.93,11.368,12.432,0.404555809,0.910635804,1.073667,4.42349,1.622818,23.247738,74.0906,2958.19463,1.3729,-40.37397,18.56797,1385.23699,804.55882,580.67817,-0.0032628,0.01138754,-0.02356159,0.00038735,0.11262053,0.01721452,0.44873709,60.31,39.69,11.2946,17.29533,0.51089544,0.00091327,-38.69933,-13.18414,-0.8207897,0.045557,376,336.63,4.4
11.43,9.84,8.17,12.84,10.57,1.745379615,50,330.4188,-0.27236,89,-0.0063,0.26606,26,6.589,7.013,12.051,13.159,0.408372901,0.998558203,1.098357,4.46627,2.323476,28.241501,86.2486,2810.48103,1.3174,-40.27039,18.75218,1282.15969,849.34985,432.80985,0.00104683,0.01171523,-0.01988893,0.00038935,0.09703946,0.01415224,0.39386772,68.06,31.94,11.34675,15.93258,0.50581669,0.0006017,-38.48315,-14.05644,-0.8067335,0.036983,410,363.8,4.4
8.52,9.91,7.98,11.02,9.3575,1.190385967,66,416.55455,-0.274305,113,0.011953,0.286258,66,8.98,7.116,13.012,17.937,0.471220281,0.998719376,1.155316,4.702178,2.842569,33.442589,114.1574,3627.12694,1.2869,-47.08426,30.09091,1690.71261,1029.70482,661.00779,-0.0002568,0.01202404,-0.01938764,0.00045942,0.1181967,0.01496048,0.40552977,66.16,33.84,11.2429,17.43542,0.5024367,0.00079872,-39.76163,-13.83809,-0.7952056,0.037221,364,322.78,4.4
18.1,12.78,10.14,15.38,14.1,2.960675599,30,205.25346,-0.26735,55,0.035713,0.303064,28,7.333,4.387,7.169,14.601,0.558206216,0.99556798,0.520878,1.939408,5.595896,24.232693,145.2512,1790.49471,1.2846,-49.29104,21.82972,931.71354,542.07529,389.63825,-0.00105288,0.0179523,-0.0274934,0.00049584,0.15952365,0.02212652,0.59708151,38.98,61.02,10.55131,17.30012,0.50146224,0.00177296,-37.9427,-13.59839,-0.8101838,0.036775,305,269.55,3.4
14.57,13.54,10.46,12.87,12.86,1.512167319,30,205.25346,-0.271081,55,0.036236,0.307317,30,5.808,6.409,9.315,11.611,0.424766783,0.999569559,0.86628,3.741496,4.499257,13.927196,112.3673,1776.73065,1.2945,-46.19663,19.29468,892.64078,541.34269,351.29809,-0.00033525,0.01730274,-0.027515,0.00041138,0.11846325,0.02139439,0.58019475,36.23,63.77,10.53035,17.24268,0.50123359,0.00179914,-38.1112,-13.16884,-0.824969,0.037302,331,288.68,3.4
13.06,13.68,8.76,13.25,12.1875,1.99157444,39,277.31624,-0.274564,74,0.007682,0.282246,37,7.985,6.748,8.802,15.878,0.505218277,0.994239198,0.87967,3.958531,2.477894,33.594243,200.2329,2310.90076,1.3447,-43.15368,20.72826,1159.63661,701.78333,457.85328,-0.00094716,0.01614182,-0.02714063,0.00038539,0.12517638,0.02069158,0.55740956,40.62,59.38,10.75137,17.31955,0.50821266,0.00143358,-38.08971,-13.5572,-0.8295259,0.041554,366,324.22,3.4
11,9.81,10.37,10.58,10.44,0.428660705,39,260.33207,-0.241814,70,0.036382,0.278195,37,6.902,6.492,9.376,13.379,0.457448627,0.969211823,0.864638,3.85168,2.714345,23.907487,154.4786,2256.03641,1.2931,-47.84477,15.74725,1110.47709,720.47846,389.99862,-0.00223823,0.01285769,-0.03012625,0.00043631,0.0631267,0.01963819,0.5149046,55.93,44.07,10.41101,16.72261,0.49923541,0.00173059,-38.2366,-13.58033,-0.8160316,0.038841,375,335.41,3.4
10.57,9.68,8.29,10.77,9.8275,0.977915513,48,332.39485,-0.245808,89,0.015415,0.261223,46,7.519,7.314,11.076,14.048,0.433072323,0.934166777,1.031267,4.818537,4.376363,23.030257,367.0736,2776.87048,1.3414,-49.32977,17.07329,1356.04224,875.31911,480.72313,-0.00218665,0.01346913,-0.03069329,0.00047779,0.07484348,0.020262,0.53266747,51.53,48.47,10.62669,16.68833,0.50562339,0.00143991,-38.21951,-13.56252,-0.8236828,0.042487,406,372.23,3.4
10.47,9.67,8.42,10.9,9.865,0.943835261,36,276.28838,-0.247358,73,0.008895,0.256252,25,6.782,5.797,10.151,12.921,0.447573522,0.952595105,0.735466,3.076848,4.270607,19.965299,200.1083,2151.94781,1.4387,-46.99224,54.21921,1046.76464,613.43842,433.32622,-0.00192618,0.01733922,-0.02919926,0.0006285,0.22589185,0.02261954,0.60542309,46,54,10.6681,18.48048,0.5107865,0.00258142,-37.54691,-13.35256,-0.8628444,0.044973,470,385.11,7.2
12.58,11.68,8.73,12.9,11.4725,1.645347608,42,338.30995,-0.334072,89,-0.01553,0.318542,26,8.107,5.942,11.917,14.576,0.44939109,0.898976193,0.736869,3.222197,3.787035,33.779168,52.0595,2597.14417,1.4597,-46.34033,18.96192,1323.30758,783.27349,540.0341,-0.00280575,0.01492922,-0.02852883,0.00052453,0.08484726,0.02108006,0.55726582,48.74,51.26,11.75555,16.80982,0.52251569,0.0009547,-37.50166,-13.12651,-0.8497281,0.048751,298,272.6,4.4
12.11,11.47,8.71,13.51,11.45,1.745508522,62,454.46846,-0.334582,121,-0.015658,0.318924,60,8.983,7.509,15.403,17.569,0.434006077,0.977902705,1.01493,4.725284,4.681798,37.639973,466.7161,3628.15188,1.4037,-52.83467,19.00202,1758.05404,1080.62587,677.42818,-0.00291374,0.01292638,-0.02818172,0.00060212,0.08354653,0.01960762,0.51170178,56.06,43.94,11.81427,16.81304,0.51537468,0.00076265,-38.93436,-13.47972,-0.8241786,0.045967,297,273.08,4.4
