SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,em,Solvent,dft,SampleName
05CAJ-23a_WB97XD_DMSO,8.49,9.54,8.48,11.74,9.5625,1.328916382,37,324.28331,-0.263665,84,-0.025341,0.238324,33,7.248,5.488,12.451,14.279,0.443199454,0.985030353,0.692388,2.88438,12.011846,73.694661,384.3871,2401.5619,1.5131,-46.21577,92.35236,1220.05454,712.67548,507.37905,0.01461182,0.04997242,-0.03505643,0.00154026,0.1852124,0.04272136,1.19102505,19.4,80.6,11.54409,19.32452,0.52193897,0.00290665,-41.35196,-13.834,-0.904001,0.04469,517,7.2,465.15,05CAJ-23a_WB97XD_DMSO
05CAJ-25_WB97XD_DMSO,11.66,12.61,9.6,12.95,11.705,1.304041794,23,223.17927,-0.285891,57,-0.02933,0.256561,22,6.409,4.336,8.482,12.74,0.498474059,0.993914807,0.379809,1.927668,8.806491,44.798612,221.1593,1620.49621,1.5433,-45.02645,76.66201,855.25774,469.34831,385.90943,0.00784367,0.03947633,-0.03062841,0.00107321,0.21078517,0.03502716,0.96556801,20.18,79.82,11.35407,19.53418,0.52517709,0.00389615,-41.23985,-13.7715,-0.9138208,0.043732,466,7.2,398.22,05CAJ-25_WB97XD_DMSO
05CEJ_03_WB97XD_Chloroform,10.07,9.72,8.81,13.09,10.4225,1.607286144,44,302.36556,-0.267242,81,-0.034299,0.232942,23,6.586,7.044,10.081,13.106,0.433528497,0.994989371,1.16421,4.414622,6.80E-05,34.243395,0.0038,2524.89189,1.3419,-39.14563,18.87519,1169.56275,761.87176,407.69099,0.00204581,0.0133829,-0.01914037,0.00041001,0.10444586,0.01484981,0.41877948,63.1,36.9,11.45599,16.26999,0.50669257,0.00062947,-38.08566,-14.16153,-0.8157778,0.036862,558,4.4,482.28,05CEJ_03_WB97XD_Chloroform
05CEJ_11_WB97XD_Chloroform,11.7,9.84,7.91,10.92,10.0925,1.422662557,46,334.36437,-0.262953,89,-0.017359,0.245594,23,6.589,7.081,11.462,13.138,0.414696506,0.996964638,1.179884,4.640698,0.00106,15.327888,0.0655,2639.97414,1.4193,-39.29673,50.80249,1218.28377,666.69075,551.59302,-0.00190954,0.01311712,-0.02007172,0.00047484,0.2384546,0.0165174,0.44261775,67.47,32.53,11.39987,18.45912,0.51200441,0.00147063,-38.35897,-13.45561,-0.8449376,0.046766,475,4.4,434.84,05CEJ_11_WB97XD_Chloroform
05CEJ_12_WB97XD_Chloroform,11.55,9.84,7.78,10.89,10.015,1.427208814,52,362.41761,-0.2609,97,-0.013856,0.247044,50,6.906,7.1,10.495,12.238,0.410216874,0.886041124,1.163228,4.77134,0.001796,18.131762,0.1555,2950.11483,1.3766,-38.73438,16.22224,1379.38369,769.68371,609.69998,-0.00309501,0.01037073,-0.02009413,0.00033291,0.10745908,0.01520451,0.39915187,66.01,33.99,11.3438,17.2648,0.51042526,0.00089612,-38.86055,-13.31766,-0.8136013,0.04231,465,4.4,428.96,05CEJ_12_WB97XD_Chloroform
05CEJ_13_WB97XD_Chloroform,10.13,9.73,8.17,11.48,9.8775,1.179944384,50,330.4188,-0.263136,89,-0.022249,0.240887,23,6.589,7.086,12.068,13.138,0.406849994,0.996964638,1.174596,4.750285,0.000183,30.771544,0.0175,2810.66645,1.3173,-40.49452,16.99122,1285.51826,831.87976,453.6385,0.00104873,0.0113666,-0.01787213,0.00038833,0.09425439,0.01337284,0.37176996,72.05,27.95,11.35213,15.57318,0.50546638,0.00061104,-38.36152,-14.51418,-0.8051808,0.036478,515,4.4,449.69,05CEJ_13_WB97XD_Chloroform
05CEJ_14_WB97XD_Chloroform,8.34,9.89,7.78,11.1,9.2775,1.305572193,66,416.55455,-0.264236,113,-0.001769,0.262467,66,9.029,7.491,12.93,18.046,0.469129384,0.999335475,1.251494,5.181633,0.496942,35.287701,49.7981,3630.54857,1.2857,-46.26714,27.62379,1694.38222,979.26943,715.11278,-0.00062217,0.01177464,-0.01759826,0.00041039,0.1272057,0.01433857,0.38728592,67.8,32.2,11.2307,17.38239,0.50222754,0.00082932,-39.66635,-13.8441,-0.7936004,0.036682,431,4.4,383.48,05CEJ_14_WB97XD_Chloroform
05ChemEurJ-01_WB97XD_Dichloromethane,18.07,11.91,9.99,15.46,13.8575,3.125039,30,205.25346,-0.264428,55,0.024181,0.288609,28,7.315,4.194,7.179,14.556,0.561379151,0.9949419,0.515664,1.793966,6.89729,23.748442,146.4787,1797.33869,1.2797,-52.12894,24.02604,934.40367,521.03351,413.37016,-0.00103772,0.02035358,-0.02800044,0.00062852,0.18415547,0.02387654,0.64590213,37.26,62.74,10.6572,17.29179,0.50066421,0.00178883,-37.67042,-13.64007,-0.8096439,0.036604,410,3.4,303.22,05ChemEurJ-01_WB97XD_Dichloromethane
05ChemEurJ-02_WB97XD_Dichloromethane,14.73,12.63,10.28,12.89,12.6325,1.581144759,30,205.25346,-0.26428,55,0.013313,0.277594,30,5.753,6.721,9.117,11.475,0.420129609,0.997305754,0.920349,4.12407,5.347549,11.397883,122.8416,1784.09485,1.2892,-47.84132,22.03324,900.82161,547.60206,353.21955,0.00011969,0.0180896,-0.02773936,0.00045822,0.13332113,0.02184769,0.59520417,35.99,64.01,10.39298,17.01445,0.50013852,0.00181374,-37.99894,-12.92195,-0.8174765,0.035962,420,3.4,358.38,05ChemEurJ-02_WB97XD_Dichloromethane
05ChemEurJ-03_WB97XD_Dichloromethane,12.99,12.82,8.5,13.06,11.8425,1.931765708,39,277.31624,-0.268328,74,-0.011347,0.256981,37,7.992,6.854,8.938,15.89,0.50154662,0.994119119,0.905951,4.174618,3.530802,33.64786,156.6563,2312.94517,1.3436,-43.73734,22.37758,1162.55714,694.61554,467.94159,-0.00044627,0.01714092,-0.02655281,0.00040947,0.14674514,0.0210184,0.5695154,39.68,60.32,10.63181,17.28162,0.50773697,0.0014625,-38.09979,-13.57973,-0.8275459,0.040501,453,3.4,398.25,05ChemEurJ-03_WB97XD_Dichloromethane
